# t[s]	v[m/s]
0.000	-15.012
0.100	-1.022
0.200	-7.606
0.300	-23.186
0.400	-19.996
0.500	-7.941
0.600	1.779
0.700	-15.897
0.800	-13.606
0.900	-12.395
1.000	11.152
1.100	-13.357
1.200	-8.103
1.300	-14.776
1.400	-23.508
1.500	-20.448
1.600	-12.092
1.700	10.623
1.800	-12.538
1.900	11.974
2.000	2.156
2.100	3.840
2.200	1.988
2.300	9.738
2.400	-17.542
2.500	-1.038
2.600	-14.076
2.700	-2.981
2.800	1.327
2.900	15.537
3.000	-3.078
3.100	5.300
3.200	14.121
3.300	5.552
3.400	8.743
3.500	-1.862
3.600	13.770
3.700	-11.689
3.800	-5.710
3.900	-5.068
4.000	12.226
4.100	-4.381
4.200	-15.631
4.300	-7.702
4.400	42.127
4.500	2.268
4.600	5.363
4.700	22.502
4.800	0.009
4.900	17.185
5.000	0.193
5.100	5.615
5.200	22.492
5.300	16.310
5.400	16.214
5.500	11.570
5.600	18.368
5.700	18.476
5.800	15.217
5.900	22.511
6.000	25.470
6.100	7.189
6.200	13.473
6.300	3.167
6.400	12.309
6.500	2.125
6.600	26.945
6.700	33.079
6.800	10.318
6.900	29.252
7.000	13.857
7.100	3.697
7.200	12.310
7.300	8.378
7.400	8.748
7.500	17.650
7.600	5.462
7.700	33.517
7.800	25.947
7.900	18.167
8.000	33.255
8.100	6.211
8.200	22.915
8.300	36.316
8.400	26.975
8.500	27.343
8.600	23.625
8.700	27.308
8.800	29.649
8.900	35.967
9.000	44.146
9.100	22.033
9.200	46.083
9.300	31.988
9.400	32.895
9.500	35.914
9.600	34.094
9.700	35.694
9.800	29.191
9.900	45.310
10.000	22.269
10.100	48.098
10.200	34.983
10.300	34.453
10.400	40.804
10.500	32.254
10.600	33.073
10.700	51.284
10.800	39.822
10.900	49.350
11.000	41.766
11.100	36.409
11.200	35.213
11.300	37.865
11.400	40.084
11.500	47.165
11.600	44.920
11.700	44.492
11.800	34.274
11.900	69.194
12.000	50.267
12.100	51.878
12.200	46.929
12.300	48.195
12.400	47.273
12.500	58.149
12.600	22.262
12.700	56.845
12.800	43.341
12.900	52.457
13.000	43.051
13.100	49.780
13.200	57.179
13.300	38.112
13.400	53.323
13.500	47.617
13.600	57.056
13.700	36.460
13.800	49.367
13.900	52.789
14.000	60.119
14.100	35.885
14.200	71.297
14.300	60.614
14.400	39.604
14.500	42.584
14.600	68.974
14.700	72.177
14.800	49.045
14.900	57.912
15.000	47.768
15.100	47.506
15.200	55.613
15.300	74.485
15.400	47.212
15.500	44.780
15.600	57.839
15.700	58.847
15.800	52.729
15.900	38.939
16.000	81.492
16.100	66.028
16.200	67.776
16.300	50.207
16.400	52.289
16.500	69.896
16.600	52.116
16.700	63.288
16.800	53.965
16.900	58.116
17.000	63.258
17.100	64.478
17.200	79.418
17.300	63.559
17.400	75.720
17.500	92.713
17.600	86.240
17.700	81.361
17.800	64.085
17.900	76.336
18.000	67.123
18.100	78.324
18.200	66.453
18.300	73.567
18.400	70.924
18.500	59.435
18.600	83.663
18.700	74.335
18.800	61.949
18.900	63.363
19.000	68.517
19.100	82.263
19.200	55.916
19.300	84.819
19.400	71.037
19.500	77.167
19.600	80.990
19.700	78.690
19.800	72.894
19.900	67.744
20.000	72.537
20.100	87.194
20.200	65.097
20.300	84.175
20.400	75.949
