# t[s]	T[C]
0.000	-115.102
1.000	-72.529
2.000	-19.348
3.000	-8.920
4.000	35.003
5.000	61.873
6.000	84.047
7.000	97.406
8.000	122.015
9.000	149.257
10.000	143.646
11.000	152.847
12.000	189.420
13.000	195.101
14.000	203.808
15.000	205.807
16.000	212.435
17.000	242.329
18.000	225.809
19.000	227.413
20.000	246.322
21.000	240.743
22.000	255.294
23.000	264.364
24.000	271.146
25.000	277.120
26.000	270.011
27.000	269.311
28.000	268.287
29.000	280.834
30.000	275.589
31.000	284.761
32.000	277.978
33.000	275.600
34.000	287.593
35.000	270.875
36.000	277.030
37.000	304.257
38.000	272.913
39.000	296.377
40.000	292.708
41.000	282.430
42.000	296.136
43.000	324.441
44.000	286.476
45.000	277.256
46.000	285.572
47.000	291.446
48.000	306.627
49.000	288.947
50.000	291.476
51.000	304.341
52.000	296.448
53.000	308.547
54.000	298.059
55.000	321.468
56.000	301.882
57.000	306.726
58.000	290.618
59.000	289.389
60.000	303.422
61.000	286.330
62.000	298.794
63.000	306.170
64.000	287.466
65.000	290.670
66.000	299.285
67.000	300.729
68.000	315.742
69.000	298.147
70.000	299.854
71.000	294.433
72.000	310.714
73.000	290.222
74.000	307.235
75.000	304.213
76.000	313.005
77.000	293.303
78.000	296.356
79.000	299.834
80.000	296.107
81.000	295.181
82.000	301.089
83.000	286.161
84.000	300.678
85.000	308.527
